id	resistance	AMI	PAS	EMB	FLQ	INH	SM	RIF	ETH	PZA
Rv2286c	no	no	no	no	no	no	no	no	no	no
Rv2466c	no	no	no	no	no	no	no	no	no	no
Rv2476c	no	no	no	no	no	no	no	no	no	no
Rv0617	no	no	no	no	no	no	no	no	no	no
Rv2494	no	no	no	no	no	no	no	no	no	no
Rv2530c	no	no	no	no	no	no	no	no	no	no
Rv3320c	no	no	no	no	no	no	no	no	no	no
Rv3034c	no	no	no	no	no	no	no	no	no	no
Rv1261c	no	no	no	no	no	no	no	no	no	no
Rv1558	no	no	no	no	no	no	no	no	no	no
Rv3178	no	no	no	no	no	no	no	no	no	no
Rv3547	no	no	no	no	no	no	no	no	no	no
Rv2022c	no	no	no	no	no	no	no	no	no	no
Rv3182	no	no	no	no	no	no	no	no	no	no
Rv2021c	no	no	no	no	no	no	no	no	no	no
Rv3183	no	no	no	no	no	no	no	no	no	no
Rv3219	no	no	no	no	no	no	no	no	no	no
Rv3260c	no	no	no	no	no	no	no	no	no	no
Rv3416	no	no	no	no	no	no	no	no	no	no
Rv3681c	no	no	no	no	no	no	no	no	no	no
Rv3316	no	no	no	no	no	no	no	no	no	no
Rv3329	no	no	no	no	no	no	no	no	no	no
Rv1103c	no	no	no	no	no	no	no	no	no	no
Rv2018	no	no	no	no	no	no	no	no	no	no
Rv2019	no	no	no	no	no	no	no	no	no	no
Rv0576	no	no	no	no	no	no	no	no	no	no
Rv2034	no	no	no	no	no	no	no	no	no	no
Rv2102	no	no	no	no	no	no	no	no	no	no
Rv0277c	no	no	no	no	no	no	no	no	no	no
Rv0749	no	no	no	no	no	no	no	no	no	no
Rv1242	no	no	no	no	no	no	no	no	no	no
Rv2103c	no	no	no	no	no	no	no	no	no	no
Rv2872	no	no	no	no	no	no	no	no	no	no
Rv3697c	no	no	no	no	no	no	no	no	no	no
Rv2175c	no	no	no	no	no	no	no	no	no	no
Rv0214	no	no	no	no	no	no	no	no	no	no
Rv0542c	no	no	no	no	no	no	no	no	no	no
Rv2590	no	no	no	no	no	no	no	no	no	no
Rv1206	no	no	no	no	no	no	no	no	no	no
Rv1683	no	no	no	no	no	no	no	no	no	no
Rv1750c	no	no	no	no	no	no	no	no	no	no
Rv3506	no	no	no	no	no	no	no	no	no	no
Rv0109	no	no	no	no	no	no	no	no	no	no
Rv0124	no	no	no	no	no	no	no	no	no	no
Rv0278c	no	no	no	no	no	no	no	no	no	no
Rv0279c	no	no	no	no	no	no	no	no	no	no
Rv0297	no	no	no	no	no	no	no	no	no	no
Rv0532	no	no	no	no	no	no	no	no	no	no
Rv0578c	no	no	no	no	no	no	no	no	no	no
Rv0742	no	no	no	no	no	no	no	no	no	no
Rv0746	no	no	no	no	no	no	no	no	no	no
Rv0747	no	no	no	no	no	no	no	no	no	no
Rv0754	no	no	no	no	no	no	no	no	no	no
Rv0832	no	no	no	no	no	no	no	no	no	no
Rv0834c	no	no	no	no	no	no	no	no	no	no
Rv0872c	no	no	no	no	no	no	no	no	no	no
Rv0977	no	no	no	no	no	no	no	no	no	no
Rv0978c	no	no	no	no	no	no	no	no	no	no
Rv0980c	no	no	no	no	no	no	no	no	no	no
Rv1067c	no	no	no	no	no	no	no	no	no	no
Rv1068c	no	no	no	no	no	no	no	no	no	no
Rv1088	no	no	no	no	no	no	no	no	no	no
Rv1091	no	no	no	no	no	no	no	no	no	no
Rv1172c	no	no	no	no	no	no	no	no	no	no
Rv1214c	no	no	no	no	no	no	no	no	no	no
Rv1243c	no	no	no	no	no	no	no	no	no	no
Rv1325c	no	no	no	no	no	no	no	no	no	no
Rv1396c	no	no	no	no	no	no	no	no	no	no
Rv1441c	no	no	no	no	no	no	no	no	no	no
Rv1450c	no	no	no	no	no	no	no	no	no	no
Rv1468c	no	no	no	no	no	no	no	no	no	no
Rv1646	no	no	no	no	no	no	no	no	no	no
Rv1759c	no	no	no	no	no	no	no	no	no	no
Rv1768	no	no	no	no	no	no	no	no	no	no
Rv1788	no	no	no	no	no	no	no	no	no	no
Rv1791	no	no	no	no	no	no	no	no	no	no
Rv1803c	no	no	no	no	no	no	no	no	no	no
Rv1818c	no	no	no	no	no	no	no	no	no	no
Rv1840c	no	no	no	no	no	no	no	no	no	no
Rv1983	no	no	no	no	no	no	no	no	no	no
Rv2162c	no	no	no	no	no	no	no	no	no	no
Rv2328	no	no	no	no	no	no	no	no	no	no
Rv2340c	no	no	no	no	no	no	no	no	no	no
Rv2396	no	no	no	no	no	no	no	no	no	no
Rv2487c	no	no	no	no	no	no	no	no	no	no
Rv2490c	no	no	no	no	no	no	no	no	no	no
Rv2519	no	no	no	no	no	no	no	no	no	no
Rv2591	no	no	no	no	no	no	no	no	no	no
Rv2615c	no	no	no	no	no	no	no	no	no	no
Rv2634c	no	no	no	no	no	no	no	no	no	no
Rv2741	no	no	no	no	no	no	no	no	no	no
Rv2853	no	no	no	no	no	no	no	no	no	no
Rv3345c	no	no	no	no	no	no	no	no	no	no
Rv3367	no	no	no	no	no	no	no	no	no	no
Rv3388	no	no	no	no	no	no	no	no	no	no
Rv3507	no	no	no	no	no	no	no	no	no	no
Rv3508	no	no	no	no	no	no	no	no	no	no
Rv3511	no	no	no	no	no	no	no	no	no	no
Rv3514	no	no	no	no	no	no	no	no	no	no
Rv3590c	no	no	no	no	no	no	no	no	no	no
Rv3595c	no	no	no	no	no	no	no	no	no	no
Rv3650	no	no	no	no	no	no	no	no	no	no
Rv3812	no	no	no	no	no	no	no	no	no	no
Rv1360	no	no	no	no	no	no	no	no	no	no
Rv1936	no	no	no	no	no	no	no	no	no	no
Rv2951c	no	no	no	no	no	no	no	no	no	no
Rv3093c	no	no	no	no	no	no	no	no	no	no
Rv3520c	no	no	no	no	no	no	no	no	no	no
Rv1221	no	no	no	no	no	no	no	no	no	no
Rv3223c	no	no	no	no	no	no	no	no	no	no
Rv3911	no	no	no	no	no	no	no	no	no	no
Rv1620c	no	no	no	no	no	no	no	no	no	no
Rv1819c	no	no	no	no	no	no	no	no	no	no
Rv3000	no	no	no	no	no	no	no	no	no	no
Rv0250c	no	no	no	no	no	no	no	no	no	no
Rv0447c	no	no	no	no	no	no	no	no	no	no
Rv0469	no	no	no	no	no	no	no	no	no	no
Rv0503c	no	no	no	no	no	no	no	no	no	no
Rv0642c	no	no	no	no	no	no	no	no	no	no
Rv0643c	no	no	no	no	no	no	no	no	no	no
Rv0645c	no	no	no	no	no	no	no	no	no	no
Rv3392c	no	no	no	no	no	no	no	no	no	no
Rv0581	no	no	no	no	no	no	no	no	no	no
Rv0582	no	no	no	no	no	no	no	no	no	no
Rv0740	no	no	no	no	no	no	no	no	no	no
Rv0750	no	no	no	no	no	no	no	no	no	no
Rv0748	no	no	no	no	no	no	no	no	no	no
Rv0827c	no	no	no	no	no	no	no	no	no	no
Rv2358	no	no	no	no	no	no	no	no	no	no
Rv3744	no	no	no	no	no	no	no	no	no	no
Rv0845	no	no	no	no	no	no	no	no	no	no
Rv0847	no	no	no	no	no	no	no	no	no	no
Rv3137	no	no	no	no	no	no	no	no	no	no
Rv1463	no	no	no	no	no	no	no	no	no	no
Rv3360	no	no	no	no	no	no	no	no	no	no
Rv3691	no	no	no	no	no	no	no	no	no	no
Rv0712	no	no	no	no	no	no	no	no	no	no
Rv1994c	no	no	no	no	no	no	no	no	no	no
Rv2310	no	no	no	no	no	no	no	no	no	no
Rv3750c	no	no	no	no	no	no	no	no	no	no
Rv3760	no	no	no	no	no	no	no	no	no	no
Rv0490	no	no	no	no	no	no	no	no	no	no
Rv0902c	no	no	no	no	no	no	no	no	no	no
Rv1028c	no	no	no	no	no	no	no	no	no	no
Rv1032c	no	no	no	no	no	no	no	no	no	no
Rv3245c	no	no	no	no	no	no	no	no	no	no
Rv3764c	no	no	no	no	no	no	no	no	no	no
Rv1626	no	no	no	no	no	no	no	no	no	no
Rv3766	no	no	no	no	no	no	no	no	no	no
Rv3867	no	no	no	no	no	no	no	no	no	no
Rv0793	no	no	no	no	no	no	no	no	no	no
Rv0584	no	no	no	no	no	no	no	no	no	no
Rv0814c	no	no	no	no	no	no	no	no	no	no
Rv3118	no	no	no	no	no	no	no	no	no	no
Rv0456B	no	no	no	no	no	no	no	no	no	no
Rv2274A	no	no	no	no	no	no	no	no	no	no
Rv2801A	no	no	no	no	no	no	no	no	no	no
Rv2063A	no	no	no	no	no	no	no	no	no	no
Rv2231A	no	no	no	no	no	no	no	no	no	no
Rv0064A	no	no	no	no	no	no	no	no	no	no
Rv2231B	no	no	no	no	no	no	no	no	no	no
Rv2862A	no	no	no	no	no	no	no	no	no	no
Rv3202a	no	no	no	no	no	no	no	no	no	no
Rv0920c	no	no	no	no	no	no	no	no	no	no
Rv1047	no	no	no	no	no	no	no	no	no	no
Rv1199c	no	no	no	no	no	no	no	no	no	no
Rv2512c	no	no	no	no	no	no	no	no	no	no
